time,flowrate
4.20E+06,-5.00E-01
4.21E+06,-5.00E-01
4.22E+06,-5.00E-01
4.23E+06,-5.00E-01
4.24E+06,-5.00E-01
4.25E+06,-5.00E-01
4.26E+06,-5.00E-01
4.27E+06,-5.00E-01
4.28E+06,-5.00E-01
4.29E+06,-5.00E-01
4.30E+06,-5.00E-01
4.31E+06,-5.00E-01
4.32E+06,-5.00E-01
4.33E+06,-5.00E-01
4.34E+06,-5.00E-01
4.35E+06,-5.00E-01
4.36E+06,-5.00E-01
4.37E+06,-5.00E-01
4.38E+06,-5.00E-01
4.39E+06,-5.00E-01
4.40E+06,-5.00E-01
4.41E+06,-5.00E-01
4.42E+06,-5.00E-01
4.43E+06,-5.00E-01
4.44E+06,-5.00E-01
4.45E+06,-5.00E-01
4.46E+06,-5.00E-01
4.47E+06,-5.00E-01
4.48E+06,-5.00E-01
4.49E+06,-5.00E-01
4.50E+06,-5.00E-01
4.51E+06,-5.00E-01
4.52E+06,-5.00E-01
4.53E+06,-5.00E-01
4.54E+06,-5.00E-01
4.55E+06,-5.00E-01
4.56E+06,-5.00E-01
4.57E+06,-5.00E-01
4.58E+06,-5.00E-01
4.59E+06,-5.00E-01
4.60E+06,-5.00E-01
5.00E+06,-5.00E-01
6.00E+06,-5.00E-01
7.00E+06,-5.00E-01
8.00E+06,-5.00E-01
9.00E+06,-5.00E-01
1.00E+07,-5.00E-01
